reset,Salto,time
4,1,4014
4,2,3641
4,3,5847
4,4,4752
4,5,5494
4,5,5973
4,7,6472
4,8,7136
4,9,8016
4,10,8306
8,1,2860
8,2,2737
8,3,4083
8,4,4239
8,5,4489
8,5,6244
8,7,5617
8,8,6398
8,9,7125
8,10,7407
12,1,3003
12,2,2444
12,3,4087
12,4,3799
12,5,4140
12,5,4178
12,7,5307
12,8,6147
12,9,6551
12,10,7131
16,1,2906
16,2,2298
16,3,3293
16,4,3816
16,5,4046
16,5,4068
16,7,5207
16,8,5994
16,9,6378
16,10,7338
20,1,2964
20,2,2198
20,3,3175
20,4,3342
20,5,3915
20,5,3994
20,7,5090
20,8,5940
20,9,6315
20,10,6861
