reset,c1,time
4,10000000,1071
8,10000000,1037
16,10000000,1044
32,10000000,1016
64,10000000,1025
128,10000000,1016
4,20000000,2055
8,20000000,2036
16,20000000,2044
32,20000000,2018
64,20000000,2022
128,20000000,2026
4,30000000,3053
8,30000000,3029
16,30000000,3036
32,30000000,3045
64,30000000,3027
128,30000000,3031
4,40000000,4053
8,40000000,4050
16,40000000,4050
32,40000000,4022
64,40000000,4009
128,40000000,4015
4,50000000,5114
8,50000000,5041
16,50000000,5123
32,50000000,5108
64,50000000,5145
128,50000000,5060
4,60000000,6064
8,60000000,6052
16,60000000,6031
32,60000000,6159
64,60000000,6060
128,60000000,6108
