Reset,Salto,PromECM
4,1,58.6718161731
4,3,125.832517361
4,5,198.07365408
4,7,252.826673074
4,9,327.840245427
4,10,345.409033499
4,11,363.088927162
8,1,52.1753009498
8,3,107.005197483
8,5,183.945342882
8,7,219.168920304
8,9,302.092078591
8,10,321.462852154
8,11,340.499764639
12,1,50.8482681933
12,3,105.535410397
12,5,174.598001085
12,7,213.535172578
12,9,279.827936921
12,10,301.775107126
12,11,324.330442116
16,1,48.1022777491
16,3,99.3877541474
16,5,161.058680122
16,7,207.07561756
16,9,297.553173828
16,10,314.501581439
16,11,328.514999803
20,1,45.7490099862
20,3,95.2777845293
20,5,157.860831163
20,7,218.665062004
20,9,274.159197772
20,10,283.762278646
20,11,321.674454901
