frame,ECM
0,139.809557292
1,102.368546007
2,82.5425477431
3,130.323550347
4,169.608663194
5,316.685503472
6,319.644205729
7,121.095668403
8,47.7918619792
9,19.5011241319
10,12.2513324653
11,20.1508984375
12,12.8142534722
13,16.3499522569
14,82.1749262153
15,146.403611111
16,1212.82017795
17,6078.37628906
18,1705.11047309
19,1207.50154948
20,1116.95293403
21,1488.59947483
22,1660.06598524
23,1884.62845052
24,1289.00406684
25,761.904418403
26,992.709826389
27,1719.79773003
28,91.1755859375
29,80.2350998264
30,136.32452691
31,203.439709201
32,267.395533854
33,274.212981771
34,332.683615451
35,352.280564236
36,909.810243056
37,991.589071181
38,510.478767361
39,467.489275174
40,418.224904514
41,376.586202257
42,363.677725694
43,396.272730035
44,405.910078125
45,369.121844618
46,263.374140625
47,231.840924479
48,220.975711806
49,176.653289931
50,2346.36809462
51,1702.11540799
52,834.403845486
53,675.108333333
54,929.634231771
55,990.996293403
56,1379.19484375
57,573.265460069
58,656.361328125
59,752.402135417
60,1805.26236979
61,898.575863715
62,1407.12370226
63,1945.83613715
64,994.091979167
65,1611.81905816
66,822.873975694
67,1071.29029948
68,1291.62759549
69,4481.92697483
70,193.191749132
71,118.830108507
72,89.3822265625
73,91.1867534722
74,69.9160503472
75,132.05155816
76,130.06046875
77,116.944045139
78,720.810251736
79,740.587131076
80,163.584162326
81,106.681840278
82,59.85734375
83,51.7159939236
84,41.6343663194
85,34.3988368056
86,38.5758723958
87,51.8469791667
88,290.868077257
89,408.533029514
90,183.600169271
91,199.278012153
92,172.009431424
93,155.586284722
94,183.797209201
95,271.445169271
96,697.753125
97,1896.9155816
98,526.429188368
99,504.829891493
100,521.271801215
101,737.441493056
102,1799.48811632
103,1299.84311632
104,1252.32953125
105,370.565421007
106,229.936892361
107,190.09765625
108,120.712864583
109,125.311697049
110,141.855737847
111,85.2463585069
112,132.227925347
113,141.997695313
114,190.683020833
115,176.92312066
116,4960.29571181
117,1255.1059592
118,451.492269965
119,495.479639757
120,490.254765625
121,538.665182292
122,757.410868056
123,774.368919271
124,842.236831597
125,663.771432292
126,361.190260417
127,228.954487847
128,186.103832465
129,198.657799479
130,2199.34044271
131,518.139548611
132,185.475898438
133,163.7965625
134,255.447304688
135,289.955664062
136,646.883980035
137,582.612044271
138,207.609982639
139,199.280269097
140,208.011901042
Convirtiendo texto a pepe.avi
