Video,Salto,PromECM,PromPSNR
baby.avi,1,42,31.8977095635
baby.avi,3,87,28.7332060182
baby.avi,5,140,26.6651798055
baby.avi,7,182,25.5266821611
baby.avi,10,249,24.1664050734
funnybaby.avi,1,89,28.6332286012
funnybaby.avi,3,209,24.9276038903
funnybaby.avi,5,292,23.4635297445
funnybaby.avi,7,425,21.8469143082
funnybaby.avi,10,595,20.3742649794
slowmovesscene.mp4,1,61,30.2734960777
slowmovesscene.mp4,3,93,28.4447717575
slowmovesscene.mp4,5,165,25.9549622183
slowmovesscene.mp4,7,179,25.5990662504
slowmovesscene.mp4,10,225,24.6089784276
camerachanges.mp4,1,467,21.4301480025
camerachanges.mp4,3,668,19.8677173427
camerachanges.mp4,5,869,18.6923171973
camerachanges.mp4,7,1077,17.7815125038
camerachanges.mp4,10,1321,16.9019608003
nocamerachanges.mp4,1,46,31.5014216185
nocamerachanges.mp4,3,102,28.0413943234
nocamerachanges.mp4,5,174,25.7170883181
nocamerachanges.mp4,7,173,25.7403126773
nocamerachanges.mp4,10,274,23.7474834601
fastmovesscene.mp4,1,579,20.4921802267
fastmovesscene.mp4,3,801,19.0848501888
fastmovesscene.mp4,5,949,18.3250891271
fastmovesscene.mp4,7,1110,17.6342799356
fastmovesscene.mp4,10,1243,17.1600334363
