Video,Salto,PromECM,PromPSNR
baby.avi,1,94,28.3947804737
baby.avi,3,138,26.7302090713
baby.avi,5,204,25.0242711998
baby.avi,7,247,24.1995574849
baby.avi,10,329,22.9446622616
funnybaby.avi,1,214,24.814426285
funnybaby.avi,3,332,22.9003461136
funnybaby.avi,5,376,22.3552844691
funnybaby.avi,7,552,20.6818586175
funnybaby.avi,10,759,19.2941892571
slowmovesscene.mp4,1,133,26.88419822
slowmovesscene.mp4,3,123,27.2263392253
slowmovesscene.mp4,5,240,24.3136376416
slowmovesscene.mp4,7,262,23.9445168083
slowmovesscene.mp4,10,291,23.4830486305
camerachanges.mp4,1,746,19.3951925262
camerachanges.mp4,3,991,18.1291335664
camerachanges.mp4,5,1056,17.8532983501
camerachanges.mp4,7,1487,16.3346845558
camerachanges.mp4,10,1734,15.6820172407
nocamerachanges.mp4,1,123,27.2263392253
nocamerachanges.mp4,3,161,26.0530504614
nocamerachanges.mp4,5,273,23.7657695706
nocamerachanges.mp4,7,258,24.0140054078
nocamerachanges.mp4,10,395,22.1484384805
fastmovesscene.mp4,1,891,18.5733249643
fastmovesscene.mp4,3,1088,17.7085201164
fastmovesscene.mp4,5,1219,17.242758696
fastmovesscene.mp4,7,1493,16.3346845558
fastmovesscene.mp4,10,1620,16.0205999133
