Video,Salto,PromECM,PromPSNR
baby.avi,1,43,31.7955179117
baby.avi,3,91,28.5369821178
baby.avi,5,154,26.2531245096
baby.avi,7,205,25.0105926222
baby.avi,10,284,23.57934847
funnybaby.avi,1,88,28.6805636182
funnybaby.avi,3,234,24.4247976906
funnybaby.avi,5,346,22.7184160654
funnybaby.avi,7,556,20.6445798923
funnybaby.avi,10,690,19.731278536
slowmovesscene.mp4,1,65,30
slowmovesscene.mp4,3,101,28.0821097292
slowmovesscene.mp4,5,184,25.4777470539
slowmovesscene.mp4,7,248,24.1830129132
slowmovesscene.mp4,10,256,24.0483371662
camerachanges.mp4,1,515,21.0037054512
camerachanges.mp4,3,742,19.3951925262
camerachanges.mp4,5,998,18.1291335664
camerachanges.mp4,7,1167,17.4036268949
camerachanges.mp4,10,1429,16.5321251378
nocamerachanges.mp4,1,47,31.4082218011
nocamerachanges.mp4,3,100,28.1291335664
nocamerachanges.mp4,5,189,25.3655844257
nocamerachanges.mp4,7,192,25.2891670028
nocamerachanges.mp4,10,1028,17.9934054945
fastmovesscene.mp4,1,651,19.956351946
fastmovesscene.mp4,3,905,18.5125834872
fastmovesscene.mp4,5,1072,17.7815125038
fastmovesscene.mp4,7,1280,16.9897000434
fastmovesscene.mp4,10,1393,16.6275783168
